Voltage (V),Temperature (K),Red,Green,Blue
121.0,9354.577218129565,5.3800208849636586e-05,5.3871781864929706e-05,5.1545275533612414e-05
122.0,9384.189238499444,5.4298109016607943e-05,5.438599065448626e-05,5.212327665124266e-05
123.0,9413.652117092865,5.479524555272778e-05,5.489953704531166e-05,5.270135649503321e-05
124.0,9442.967808510704,5.5291616257298646e-05,5.5412416769427784e-05,5.3279498597665355e-05
125.0,9472.138226219118,5.578721912035601e-05,5.592462579403348e-05,5.3857686950251494e-05
126.0,9501.165243736592,5.6282052314872426e-05,5.643616031258753e-05,5.443590598877987e-05
127.0,9530.05069577763,5.6776114189287346e-05,5.6947016736249995e-05,5.5014140581017224e-05
128.0,9558.796379354962,5.726940326034943e-05,5.7457191685667084e-05,5.559237601385049e-05
129.0,9587.404054842085,5.776191820625541e-05,5.796668198308304e-05,5.6170597981051014e-05
130.0,9615.8754469979,5.8253657860073064e-05,5.847548464476462e-05,5.6748792571446196e-05
131.0,9644.212245955023,5.874462120343489e-05,5.898359687372604e-05,5.732694625748113e-05
132.0,9672.416108173373,5.923480736049016e-05,5.949101605273839e-05,5.7905045884158325e-05
133.0,9700.488657360476,5.972421559210439e-05,5.999773973761445e-05,5.8483078658339135e-05
134.0,9728.43148535991,6.0212845290294126e-05,6.0503765650753275e-05,5.9061032138394196e-05
135.0,9756.2461530092,6.0700695972887386e-05,6.100909167493658e-05,5.9638894224190234e-05
136.0,9783.93419096847,6.118776727839987e-05,6.151371584736459e-05,6.021665314740059e-05
137.0,9811.497100521005,6.167405896111635e-05,6.201763635392072e-05,6.0794297462127434e-05
138.0,9838.936354346912,6.215957088636983e-05,6.252085152365686e-05,6.137181603582448e-05
139.0,9866.253397270966,6.2644303026008e-05,6.302335982348775e-05,6.194919804050903e-05
140.0,9893.44964698566,6.312825545404104e-05,6.352515985308847e-05,6.252643294425338e-05
141.0,9920.526494750477,6.361142834246063e-05,6.402625033998367e-05,6.31035105029448e-05
142.0,9947.48530606831,6.409382195722468e-05,6.452663013482237e-05,6.368042075230531e-05
143.0,9974.327421339962,6.457543665439984e-05,6.502629820683069e-05,6.42571540001609e-05
144.0,10001.054156497523,6.505627287645443e-05,6.552525363943309e-05,6.483370081895221e-05
145.0,10027.666803617536,6.553633114869755e-05,6.602349562603858e-05,6.541005203847811e-05
146.0,10054.16663151464,6.60156120758555e-05,6.65210234659819e-05,6.598619873886326e-05
147.0,10080.554886316515,6.64941163387815e-05,6.701783656061531e-05,6.656213224374234e-05
